RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,1,1,0,6
5.9919438074545885,90.57640750670242,1660,51,8.140963855421687,2.5847392065056427,0,0,0,0,0,0.06841227290879391,1,2,0,6
0.464255163633881,89.44636678200692,204,27,5.068627450980392,1.6140394920429646,0,0,0,0,0,NA,1,j,0,6
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,2,1,0.02,6
5.9847149208236115,92.25607301033418,1838,84,7.47986942328618,2.5199321598077105,0,0,0,0,0,0.16779748035697314,2,2,0.02,6
0.9614419219199923,95.65580618212198,284,84,8.06338028169014,1.2971565445623519,0,0,0,0,0,NA,2,j,0.02,6
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,3,1,0.04,6
5.987927759326268,93.9235412474849,1616,200,8.665841584158416,2.6021473274161115,0,0,0,0,0,0.16387565497300433,3,2,0.04,6
1.9791085176364753,99.10714285714286,254,200,19.228346456692915,2.8666542647471944,0,0,0,0,0,NA,3,j,0.04,6
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,4,1,0.06,6
5.989534178577596,91.39063966742657,2328,104,5.8548109965635735,2.2189097424767117,0,0,0,0,0,0.21030451608358347,4,2,0.06,6
1.795173513359384,96.91275167785236,396,104,10.93939393939394,2.6306844111775476,0,0,0,0,0,NA,4,j,0.06,6
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,5,1,0.08,6
5.985518130449275,87.41277509393451,2154,112,6.04828226555246,2.292983594361688,0,0,0,0,0,0.21827004490314386,5,2,0.08,6
1.580716543307055,96.59552845528455,304,112,12.506578947368421,1.9894004122056503,0,0,0,0,0,NA,5,j,0.08,6
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,6,1,0.1,6
5.985518130449275,91.55931293612453,2338,65,5.8366124893071,2.375751292884528,0,0,0,0,0,0.2630756039123827,6,2,0.1,6
1.2530070160360802,95.44871794871796,448,65,6.647321428571429,1.7458370274879411,0,0,0,0,0,NA,6,j,0.1,6
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,7,1,0.12,6
5.9847149208236115,90.3100254999329,2242,56,6.002676181980375,2.4366021245471114,0,0,0,0,0,0.32799388611645147,7,2,0.12,6
0.9871446299412452,96.01301871440195,350,56,6.742857142857143,2.032493779900265,0,0,0,0,0,NA,7,j,0.12,6
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,8,1,0.14,6
5.987124549700604,91.15910920311242,2458,32,5.528885272579333,2.330984372904456,0,0,0,0,0,0.41215298346152696,8,2,0.14,6
0.9887510491925735,97.56295694557271,408,32,5.887254901960785,1.8721516671258231,0,0,0,0,0,NA,8,j,0.14,6
6.318046915474235,92.65191965420799,2310,469,6.30995670995671,0.857809411925644,66.39969488939741,3.722736992159658,5,2806,1.1013797063951478,0.1619728106199611,9,1,0.16,6
