RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
1,4,2,2,2,-0,12,2,2,6,-0,0.016014404527158986,1,1,0,1
1,4,2,2,2,-0,0,0,0,0,0,0.19411187755819106,1,2,0,1
0.02,0,0,0,0,0,0,0,0,0,0,NA,1,j,0,1
1.9800000000000002,2.0202020202020203,2,2,2,-0,8.080808080808081,2,2,8,-0,0.034414541197863864,2,1,0,2
1.9800000000000002,2.0202020202020203,2,2,2,-0,2.0202020202020203,2,2,2,-0,0.27101358071025505,2,2,0,2
0.04,0,0,0,0,0,0,0,0,0,0,NA,2,j,0,2
4.9399999999999995,8.097165991902834,20,2,2,-0,21.45748987854251,2.0784313725490198,3,51,0.2749214224331039,0.08471290920922261,3,1,0,5
4.9399999999999995,10.526315789473683,26,2,2,-0,10.526315789473683,2.1666666666666665,3,24,0.45056120886630463,0.4297834893167607,3,2,0,5
0.27999999999999997,0,0,0,0,0,0,0,0,0,0,NA,3,j,0,5
9.9,15.353535353535353,74,3,2.054054054054054,0.21028341228613337,31.818181818181817,2.142857142857143,4,147,0.42845438955569853,0.16877104650242536,4,1,0,10
9.9,16.161616161616163,76,4,2.1052631578947367,0.32644204095666557,23.535353535353533,2.3069306930693068,4,101,0.6847118862319337,0.6242114232644835,4,2,0,10
0.88,0,0,0,0,0,2.272727272727273,2,2,1,-0,NA,4,j,0,10
0.98,0,0,0,0,0,2.0408163265306123,2,2,1,-0,0.021274633488737784,5,1,0,1
1,8,4,2,2,-0,4,2,2,2,-0,0.21325071899537745,5,2,0,1
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,5,j,0,1
1.9800000000000002,4.040404040404041,4,2,2,-0,4.040404040404041,2,2,4,-0,0.043337738458594136,6,1,0,2
1.9800000000000002,10.1010101010101,10,2,2,-0,4.040404040404041,2,2,4,-0,0.294929048092635,6,2,0,2
0.04,0,0,0,0,0,0,0,0,0,0,NA,6,j,0,2
4.9399999999999995,12.955465587044534,32,2,2,-0,8.502024291497975,2,2,21,-0,0.09854342567298156,7,1,0,5
4.9399999999999995,12.145748987854251,30,2,2,-0,11.133603238866396,2.1153846153846154,3,26,0.3576271598532216,0.4414831514324637,7,2,0,5
