RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
0.98,0,0,0,0,0,2.0408163265306123,2,2,1,-0,0.016504526421066812,1,1,0,1
0.98,0,0,0,0,0,4.081632653061225,2,2,2,-0,0.18957406270280605,1,2,0,1
0.02,0,0,0,0,0,0,0,0,0,0,NA,1,j,0,1
1.9800000000000002,0,0,0,0,0,7.07070707070707,2,2,7,-0,0.03593110685271024,2,1,0,2
1.9800000000000002,8.080808080808081,8,2,2,-0,7.07070707070707,2,2,7,-0,0.2935926145346502,2,2,0,2
0.04,0,0,0,0,0,0,0,0,0,0,NA,2,j,0,2
4.9399999999999995,3.643724696356275,8,3,2.25,0.5623351446188083,11.538461538461538,2.0357142857142856,3,28,0.15407610367102942,0.08470236431867893,3,1,0,5
4.9399999999999995,8.097165991902834,20,2,2,-0,12.955465587044534,2,2,32,-0,0.4400705262365629,3,2,0,5
0.27999999999999997,0,0,0,0,0,0,0,0,0,0,NA,3,j,0,5
9.9,16.767676767676768,76,4,2.1842105263157894,0.5073035688905503,22.12121212121212,2.2346938775510203,4,98,0.5854403155779085,0.17359793416527247,4,1,0,10
9.9,15.353535353535353,70,4,2.1714285714285713,0.48160237879386447,21.11111111111111,2.0693069306930694,3,101,0.25184249132870934,0.6318468015450509,4,2,0,10
1.06,3.7735849056603774,2,2,2,-0,0,0,0,0,0,NA,4,j,0,10
0.98,0,0,0,0,0,0,0,0,0,0,0.016671229204329677,5,1,0,1
0.98,8.16326530612245,4,2,2,-0,4.081632653061225,2,2,2,-0,0.19618917033798255,5,2,0,1
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,5,j,0,1
1.9800000000000002,4.040404040404041,4,2,2,-0,6.0606060606060606,2,2,6,-0,0.031130368971339237,6,1,0,2
1.9800000000000002,6.0606060606060606,6,2,2,-0,3.0303030303030303,2,2,3,-0,0.28229954953904624,6,2,0,2
0.02,0,0,0,0,0,0,0,0,0,0,NA,6,j,0,2
4.9399999999999995,10.526315789473683,26,2,2,-0,11.740890688259109,2.1481481481481484,3,27,0.4194833693061807,0.07750856084549189,7,1,0,5
4.9399999999999995,11.740890688259109,28,3,2.0714285714285716,0.25731864054383163,5.263157894736842,2.3636363636363638,3,11,0.6554817739013927,0.431471580474345,7,2,0,5
0.16,0,0,0,0,0,0,0,0,0,0,NA,7,j,0,5
9.9,16.969696969696972,82,3,2.048780487804878,0.19490868718781756,19.393939393939394,2.2857142857142856,5,84,0.5698783241350863,0.15854826556135693,8,1,0,10
9.9,19.7979797979798,94,3,2.0851063829787235,0.2910671247036172,13.030303030303031,2.1147540983606556,3,61,0.3563409206018685,0.6177326341980485,8,2,0,10
0.8999999999999999,0,0,0,0,0,4.444444444444445,2,2,2,-0,NA,8,j,0,10
1,4,2,2,2,-0,0,0,0,0,0,0.017360970645874156,9,1,0,1
0.98,0,0,0,0,0,0,0,0,0,0,0.2098812999673004,9,2,0,1
0.02,0,0,0,0,0,0,0,0,0,0,NA,9,j,0,1
1.9800000000000002,10.1010101010101,10,2,2,-0,2.0202020202020203,2,2,2,-0,0.034079097746802,10,1,0,2
1.9800000000000002,2.0202020202020203,2,2,2,-0,3.0303030303030303,2,2,3,-0,0.27474568056538134,10,2,0,2
0.02,0,0,0,0,0,0,0,0,0,0,NA,10,j,0,2
4.9399999999999995,16.194331983805668,40,2,2,-0,10.526315789473683,2,2,26,-0,0.08403848077470759,11,1,0,5
4.9399999999999995,8.906882591093117,22,2,2,-0,11.740890688259109,2.0714285714285716,3,28,0.25731864054383163,0.426163158028271,11,2,0,5
0.22,0,0,0,0,0,0,0,0,0,0,NA,11,j,0,5
