RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
0.3,0,0,0,0,0,0,0,0,0,0,0.004912375916534148,1,1,0,0.3
0.3,0,0,0,0,0,0,0,0,0,0,0.09922337443444788,1,2,0,0.3
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,j,0,0.3
0.6,0,0,0,0,0,0,0,0,0,0,0.010785664677125556,2,1,0,0.6
0.6,6.666666666666667,2,2,2,-0,3.3333333333333335,2,2,1,-0,0.14589435847276078,2,2,0,0.6
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,j,0,0.6
1.24,3.225806451612903,2,2,2,-0,4.838709677419355,2,2,3,-0,0.022054751635107898,3,1,0,1.25
1.24,6.451612903225806,4,2,2,-0,1.6129032258064515,2,2,1,-0,0.19854794060464417,3,2,0,1.25
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,j,0,1.25
2.48,5.64516129032258,6,3,2.3333333333333335,0.6365141682948128,6.451612903225806,2,2,8,-0,0.04709572125762392,4,1,0,2.5
2.48,5.64516129032258,6,3,2.3333333333333335,0.6365141682948128,4.032258064516129,2,2,5,-0,0.2894156957402856,4,2,0,2.5
0.02,0,0,0,0,0,0,0,0,0,0,NA,4,j,0,2.5
4.9399999999999995,9.7165991902834,22,3,2.1818181818181817,0.47413931305783735,13.157894736842104,2.03125,3,32,0.13906079845474112,0.09352690177965624,5,1,0,5
4.9399999999999995,9.31174089068826,20,4,2.3,0.639031859650177,8.097165991902834,2,2,20,-0,0.4211243281439973,5,2,0,5
0.24,0,0,0,0,0,0,0,0,0,0,NA,5,j,0,5
9.9,14.747474747474747,70,3,2.085714285714286,0.2925084684723972,23.232323232323232,2.1296296296296298,3,108,0.3856820405687198,0.18851827766737209,6,1,0,10
9.9,21.616161616161616,100,4,2.14,0.42099233633666616,20.505050505050505,2.1145833333333335,4,96,0.3607891109735043,0.6091064855874838,6,2,0,10
1,4,2,2,2,-0,0,0,0,0,0,NA,6,j,0,10
19.8,31.616161616161616,290,6,2.1586206896551725,0.44200169328373373,43.98989898989899,2.2390745501285347,5,389,0.5991183209122543,0.3660941183033505,7,1,0,20
19.8,39.494949494949495,340,5,2.3,0.6990881587986598,38.282828282828284,2.3540372670807455,6,322,0.7584273242402345,0.8992784222357767,7,2,0,20
