RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
0.9976,100,42,408,59.38095238095238,2.780466368938682,95.10825982357657,2.899755501222494,10,818,1.0539912201728312,0.27285626790604134,1,1,0,1
0.9823999999999999,99.9185667752443,18,302,136.33333333333334,1.5810937501718236,65.63517915309446,2,2,806,-0,0.04545042888268187,1,2,0,1
0.3128,99.74424552429667,14,84,55.714285714285715,1.4750763110546947,0,0,0,0,0,NA,1,j,0,1
1.9959999999999998,99.87975951903807,80,499,62.3,3.281486097617739,98.29659318637275,5.218085106382978,18,940,1.7796054671509347,0.5019641089462551,2,1,0,2
1.9976,100,28,499,178.35714285714286,2.3046193848206715,95.23428113736485,3.0216010165184244,4,1574,0.7088742879285325,0.09076333636873685,2,2,0,2
0.672,100,14,499,120,1.4750763110546947,81.19047619047619,2,2,682,-0,NA,2,j,0,2
4.9896,99.98396665063332,202,499,61.742574257425744,4.006872264379234,99.98396665063332,10.419381787802841,29,1197,2.670537961362288,0.9541569160820543,3,1,0,5
4.9896,100,58,499,215.06896551724137,3.205843029051156,99.95189995189995,6.858085808580858,10,1818,1.1563696731433961,0.22440857759225674,3,2,0,5
1.6968,100,20,499,212.1,1.9730014063936128,99.95285242809994,4.257028112449799,5,996,0.918856998542941,NA,3,j,0,5
9.98,99.98396793587175,416,499,59.96634615384615,4.184211979766856,99.98396793587175,17.38397212543554,49,1435,3.3138903067598293,1.454320776429457,4,1,0,10
9.98,100,104,499,239.90384615384616,3.887862240389036,99.97595190380761,13.578660860097985,20,1837,1.1122451634114034,0.43865744468421924,4,2,0,10
3.4536,100,48,499,179.875,3.1780538303479453,99.93050729673384,8.368574199806014,9,1031,0.7931855120130771,NA,4,j,0,10
0.9976,100,42,408,59.38095238095238,2.780466368938682,95.10825982357657,2.899755501222494,10,818,1.0539912201728312,0.27285626790604134,5,1,0.025,1
0.9952000000000001,100,10,472,248.8,1.6094379124341005,59.08360128617364,2,2,735,-0,0.04594620518406859,5,2,0.025,1
0.3544,100,6,401,147.66666666666666,1.0986122886681096,0,0,0,0,0,NA,5,j,0.025,1
1.9959999999999998,99.87975951903807,80,499,62.3,3.281486097617739,98.29659318637275,5.218085106382978,18,940,1.7796054671509347,0.5019641089462551,6,1,0.025,2
1.9959999999999998,100,26,499,191.92307692307693,2.564949357461537,96.35270541082164,2.9515039901780233,4,1629,0.8241387767595021,0.0907809377996547,6,2,0.025,2
0.6968,100,10,499,174.2,1.6094379124341005,85.4190585533869,2,2,744,-0,NA,6,j,0.025,2
4.9896,99.98396665063332,202,499,61.742574257425744,4.006872264379234,99.98396665063332,10.419381787802841,29,1197,2.670537961362288,0.9541569160820543,7,1,0.025,5
4.9912,100,58,499,215.13793103448276,3.367295829986474,99.95191537105306,6.864061640066043,10,1817,1.2612525785622577,0.224674186297993,7,2,0.025,5
1.7295999999999998,100,20,499,216.2,2.3025850929940455,99.95374653098983,4.339357429718875,5,996,0.9423431688446088,NA,7,j,0.025,5
9.98,99.98396793587175,416,499,59.96634615384615,4.184211979766856,99.98396793587175,17.38397212543554,49,1435,3.3138903067598293,1.454320776429457,8,1,0.025,10
9.98,100,104,499,239.90384615384616,3.951243718581427,99.97595190380761,13.586056644880175,20,1836,1.3435738926323444,0.44313520856083627,8,2,0.025,10
3.4824,100,50,499,174.12,3.2188758248682,99.93108201240524,8.446601941747574,10,1030,1.1154787461296092,NA,8,j,0.025,10
0.9976,100,42,408,59.38095238095238,2.780466368938682,95.10825982357657,2.899755501222494,10,818,1.0539912201728312,0.27285626790604134,9,1,0.05,1
0.9976,100,16,499,155.875,2.0794415416798357,56.05453087409783,2.177570093457944,3,642,0.4676888318614899,0.05230276917337138,9,2,0.05,1
0.376,100,6,408,156.66666666666666,1.0986122886681096,0,0,0,0,0,NA,9,j,0.05,1
1.9959999999999998,99.87975951903807,80,499,62.3,3.281486097617739,98.29659318637275,5.218085106382978,18,940,1.7796054671509347,0.5019641089462551,10,1,0.05,2
1.9959999999999998,100,24,499,207.91666666666666,2.4849066497880004,98.1563126252505,2.850989522700815,5,1718,0.9514071647421417,0.0917606792177178,10,2,0.05,2
0.7303999999999999,100,6,499,304.3333333333333,1.0986122886681096,90.69003285870755,2,2,828,-0,NA,10,j,0.05,2
4.9896,99.98396665063332,202,499,61.742574257425744,4.006872264379234,99.98396665063332,10.419381787802841,29,1197,2.670537961362288,0.9541569160820543,11,1,0.05,5
4.9888,100,66,499,188.96969696969697,3.4544986414325445,99.95189223861449,6.86453744493392,11,1816,1.3506594006716106,0.22473955960703765,11,2,0.05,5
1.7496,100,22,499,198.8181818181818,2.3978952727983707,99.95427526291724,4.389558232931727,5,996,0.9418994408989724,NA,11,j,0.05,5
9.98,99.98396793587175,416,499,59.96634615384615,4.184211979766856,99.98396793587175,17.38397212543554,49,1435,3.3138903067598293,1.454320776429457,12,1,0.05,10
9.98,100,106,499,235.37735849056602,3.944135416172501,99.97595190380761,13.586056644880175,20,1836,1.4446235242455316,0.44245461969676814,12,2,0.05,10
3.5088,100,50,499,175.44,3.2188758248682,99.93160054719561,8.510679611650485,10,1030,1.223257271778322,NA,12,j,0.05,10
0.9976,100,42,408,59.38095238095238,2.780466368938682,95.10825982357657,2.899755501222494,10,818,1.0539912201728312,0.27285626790604134,13,1,0.07500000000000001,1
0.9984,100,18,499,138.66666666666666,2.1972245773362196,59.21474358974359,2.3497615262321143,3,629,0.6472988894205909,0.060476876637358026,13,2,0.07500000000000001,1
0.376,100,6,408,156.66666666666666,1.0986122886681096,0,0,0,0,0,NA,13,j,0.07500000000000001,1
1.9959999999999998,99.87975951903807,80,499,62.3,3.281486097617739,98.29659318637275,5.218085106382978,18,940,1.7796054671509347,0.5019641089462551,14,1,0.07500000000000001,2
1.9952,99.91980753809142,24,499,207.66666666666666,2.4849066497880004,99.85966319165999,2.7641509433962264,5,1802,0.8875224519551048,0.09758102679286651,14,2,0.07500000000000001,2
0.7648,100,6,499,318.6666666666667,1.0986122886681096,95.60669456066945,2,2,914,-0,NA,14,j,0.07500000000000001,2
4.9896,99.98396665063332,202,499,61.742574257425744,4.006872264379234,99.98396665063332,10.419381787802841,29,1197,2.670537961362288,0.9541569160820543,15,1,0.07500000000000001,5
4.9872,100,70,499,178.11428571428573,3.396914420218569,99.95187680461981,6.869900771775082,11,1814,1.377626456049626,0.2248076047703694,15,2,0.07500000000000001,5
1.7672,100,22,499,200.8181818181818,2.3978952727983707,99.95473064735174,4.433734939759036,5,996,0.9322972082802409,NA,15,j,0.07500000000000001,5
9.9792,99.98396665063332,416,499,59.96153846153846,4.185426746782317,99.98396665063332,17.382578397212544,49,1435,3.3143008118184643,1.4542698737269109,16,1,0.07500000000000001,10
9.980799999999999,100,110,499,226.83636363636364,3.956922481191748,99.97595383135621,13.601962922573609,20,1834,1.5273211255321089,0.44222907925729615,16,2,0.07500000000000001,10
3.5344,100,50,499,176.72,3.2188758248682,99.932095971027607,8.572815533980583,10,1030,1.2962561503066914,NA,16,j,0.07500000000000001,10
0.9976,100,42,408,59.38095238095238,2.780466368938682,95.10825982357657,2.899755501222494,10,818,1.0539912201728312,0.27285626790604134,17,1,0.1,1
0.9976,100,20,499,124.7,2.3025850929940455,59.502806736166804,2.4208809135399676,3,613,0.680574743157174,0.06322205639840346,17,2,0.1,1
0.376,100,6,408,156.66666666666666,1.0986122886681096,0,0,0,0,0,NA,17,j,0.1,1
1.9959999999999998,99.87975951903807,80,499,62.3,3.281486097617739,98.29659318637275,5.218085106382978,18,940,1.7796054671509347,0.5019641089462551,18,1,0.1,2
1.9952,100,30,499,166.26666666666668,2.70805020110221,99.31836407377706,2.9106933019976498,5,1702,0.9996690092561703,0.10554035406242163,18,2,0.1,2
0.7648,100,6,499,318.6666666666667,1.0986122886681096,95.60669456066945,2,2,914,-0,NA,18,j,0.1,2
4.9896,99.98396665063332,202,499,61.742574257425744,4.006872264379234,99.98396665063332,10.419381787802841,29,1197,2.670537961362288,0.9541569160820543,19,1,0.1,5
4.9888,100,68,499,183.41176470588235,3.444813797491462,99.95189223861449,6.868319559228651,11,1815,1.4364644849601957,0.22569103654704722,19,2,0.1,5
1.796,100,18,499,249.44444444444446,2.1972245773362196,99.9554565701559,4.506024096385542,5,996,0.8974091212144175,NA,19,j,0.1,5
9.98,99.98396793587175,416,499,59.96634615384615,4.184211979766856,99.98396793587175,17.38397212543554,49,1435,3.3138903067598293,1.454320776429457,20,1,0.1,10
9.9832,100,116,499,215.1551724137931,4.060443010546419,99.97595961214842,13.605234460196293,21,1834,1.5868608180523955,0.44251812475699626,20,2,0.1,10
3.5479999999999996,100,50,499,177.4,3.2188758248682,99.93235625704622,8.605825242718447,10,1030,1.3248950709696927,NA,20,j,0.1,10
0.9976,100,42,408,59.38095238095238,2.780466368938682,95.10825982357657,2.899755501222494,10,818,1.0539912201728312,0.27285626790604134,21,1,0.125,1
0.9984,100,24,499,104,2.4849066497880004,58.97435897435898,2.507666098807496,3,587,0.693029637812588,0.06564695940497609,21,2,0.125,1
0.376,100,6,408,156.66666666666666,1.0986122886681096,0,0,0,0,0,NA,21,j,0.125,1
1.9959999999999998,99.87975951903807,80,499,62.3,3.281486097617739,98.29659318637275,5.218085106382978,18,940,1.7796054671509347,0.5019641089462551,22,1,0.125,2
1.9959999999999998,99.95991983967936,32,499,155.875,2.685945324669788,99.81963927855712,3.020618556701031,5,1649,0.955461799350849,0.1098702117198095,22,2,0.125,2
0.7648,100,6,499,318.6666666666667,1.0986122886681096,95.60669456066945,2,2,914,-0,NA,22,j,0.125,2
4.9896,99.98396665063332,202,499,61.742574257425744,4.006872264379234,99.98396665063332,10.419381787802841,29,1197,2.670537961362288,0.9541569160820543,23,1,0.125,5
4.9896,100,68,499,183.44117647058823,3.4040404339291124,99.95189995189995,6.87699944842802,11,1813,1.571624078155046,0.22783177065537885,23,2,0.125,5
1.8168,100,18,499,252.33333333333334,2.1972245773362196,99.95596653456627,4.5582329317269075,5,996,0.8564212754749061,NA,23,j,0.125,5
9.98,99.98396793587175,416,499,59.96634615384615,4.184211979766856,99.98396793587175,17.38397212543554,49,1435,3.3138903067598293,1.454320776429457,24,1,0.125,10
9.980799999999999,100,122,499,204.52459016393442,4.088147727105772,99.97595383135621,13.609383524277142,21,1833,1.7150879701600605,0.4433727997351432,24,2,0.125,10
3.5712,100,52,499,171.69230769230768,3.204777524132256,99.93279569892472,8.662135922330098,10,1030,1.359461298372152,NA,24,j,0.125,10
0.9976,100,42,408,59.38095238095238,2.780466368938682,95.10825982357657,2.899755501222494,10,818,1.0539912201728312,0.27285626790604134,25,1,0.15000000000000002,1
0.9984,100,26,499,96,2.564949357461537,56.57051282051282,2.7101727447216892,4,521,0.8405844058080145,0.06899344519530352,25,2,0.15000000000000002,1
0.376,100,6,408,156.66666666666666,1.0986122886681096,0,0,0,0,0,NA,25,j,0.15000000000000002,1
1.9959999999999998,99.87975951903807,80,499,62.3,3.281486097617739,98.29659318637275,5.218085106382978,18,940,1.7796054671509347,0.5019641089462551,26,1,0.15000000000000002,2
1.9928000000000001,99.95985547972703,40,499,124.5,2.9264175554979963,99.83942191890807,3.049662783568363,6,1631,0.9213215642490638,0.11322904980436181,26,2,0.15000000000000002,2
0.7648,100,6,499,318.6666666666667,1.0986122886681096,95.60669456066945,2,2,914,-0,NA,26,j,0.15000000000000002,2
4.9896,99.98396665063332,202,499,61.742574257425744,4.006872264379234,99.98396665063332,10.419381787802841,29,1197,2.670537961362288,0.9541569160820543,27,1,0.15000000000000002,5
4.9896,100,72,499,173.25,3.5065025850605602,99.95189995189995,6.884594146880176,11,1811,1.5698078695080961,0.23025135371398467,27,2,0.15000000000000002,5
1.8536000000000001,100,18,499,257.44444444444446,2.1972245773362196,99.95684074233924,4.650602409638554,5,996,0.7462140801859358,NA,27,j,0.15000000000000002,5
9.9792,99.98396665063332,416,499,59.96153846153846,4.185426746782317,99.98396665063332,17.382578397212544,49,1435,3.3143008118184643,1.4542597412732063,28,1,0.15000000000000002,10
