RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
0.2,100,18,56,27.77777777777778,2.1972245773362196,64,3.7209302325581395,5,86,1.3617527682160209,0.07267404565626803,1,1,0,0.2
0.196,100,6,82,81.66666666666667,0.6365141682948128,0,0,0,0,0,0.01401733642397745,1,2,0,0.2
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,j,0,0.2
0.29919999999999997,100,22,58,34,2.3978952727983707,52.406417112299465,4.170212765957447,6,94,1.5899847853038898,0.08591796747550959,2,1,0,0.3
0.296,100,4,301,185,0.6931471805599453,0,0,0,0,0,0.01738505049034575,2,2,0,0.3
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,j,0,0.3
0.5983999999999999,100,32,346,46.75,2.599301927099795,58.9572192513369,4.240384615384615,10,208,1.6241624244358495,0.14144407497873876,3,1,0,0.6
0.6144000000000001,100,12,301,128,1.5607104090414063,94.79166666666666,2,2,728,-0,0.03148644926253584,3,2,0,0.6
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,j,0,0.6
1.2472,100,52,380,59.96153846153846,3.1514585102430295,96.72867222578576,3.696078431372549,18,816,1.4043341550241764,0.26086955376809695,4,1,0,1.25
1.2456,100,16,499,194.625,1.9061547465398494,67.82273603082851,2.620347394540943,3,806,0.6638938040345137,0.05950321020390979,4,2,0,1.25
0.36719999999999997,100,4,380,229.5,0.6931471805599453,0,0,0,0,0,NA,4,j,0,1.25
2.4951999999999996,100,104,499,59.98076923076923,3.7812242126105833,98.6213529977557,6.745614035087719,34,912,2.2836480448183316,0.5056353194869326,5,1,0,2.5
2.4936,100,26,499,239.76923076923077,2.564949357461537,99.90375360923966,3.4446902654867255,6,1808,0.9642094500724807,0.11980402574051993,5,2,0,2.5
0.764,100,6,499,318.3333333333333,1.0986122886681096,95.49738219895289,2,2,912,-0,NA,5,j,0,2.5
4.9896,99.98396665063332,186,499,67.05376344086021,4.122528031172876,99.98396665063332,12.509528585757272,60,997,2.900295998194178,1.0121324791350674,6,1,0,5
4.9912,100,58,499,215.13793103448276,3.1760828146595927,99.95191537105306,6.86028602860286,10,1818,1.1570798495786072,0.22437336488218249,6,2,0,5
1.7264000000000002,100,20,499,215.8,1.7480673485460894,99.95366079703429,4.331325301204819,5,996,0.9338098351212228,NA,6,j,0,5
9.980799999999999,99.98396922090413,542,499,46.02952029520295,4.047620925657658,99.97996152613017,18.672904191616766,72,1336,3.5169060876988785,1.6628945649859117,7,1,0,10
9.9792,99.99198332531665,102,499,244.5686274509804,3.867201380449731,99.97194163860831,13.58442265795207,20,1836,1.1024810658070259,0.43913130652194116,7,2,0,10
3.4160000000000004,100,30,499,284.6666666666667,2.70805020110221,99.97658079625292,8.572289156626505,9,996,0.6062883145295073,NA,7,j,0,10
19.9608,99.9839685784137,1128,499,44.2322695035461,4.1848067423940805,99.98998036150856,26.611733333333333,77,1875,3.95568761687401,2.191794931786983,8,1,0,20
19.96,100,200,499,249.5,4.591307242376892,99.9879759519038,26.624332977588047,40,1874,1.5631352622646912,0.8620288582208209,8,2,0,20
7.796799999999999,100,192,499,101.52083333333333,3.926048967559007,99.86661194336138,15.243539545810494,25,1277,1.840422991078197,NA,8,j,0,20
39.9208,99.98396825714916,2062,499,48.39282250242483,4.354713893882954,99.99198412857457,41.30546357615894,112,2416,4.39201693146454,2.887437491605671,9,1,0,40
