RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
0.9984,100,48,387,52,3.1202915653012835,93.18910256410257,3.1263440860215055,16,744,1.1606389138024398,0.4497713451548434,1,1,0,1
0.984,100,20,302,123,1.7480673485460894,65.52845528455285,2,2,806,-0,0.04537250751733698,1,2,0,1
0.3096,100,12,84,64.5,1.242453324894,0,0,0,0,0,NA,1,j,0,1
1.9959999999999998,99.91983967935872,78,499,63.92307692307692,3.507960990020823,98.1563126252505,5.406181015452539,28,906,1.9109733774123407,0.8479881373957696,2,1,0,2
1.992,100,28,499,177.85714285714286,2.0642580751745085,94.93975903614458,3.0307692307692307,4,1560,0.7087538397106192,0.09061064922986804,2,2,0,2
0.6736,100,12,499,140.33333333333334,0.8675632284814612,81.47268408551069,2,2,686,-0,NA,2,j,0,2
4.9896,99.96793330126663,164,499,76.03658536585365,4.1001735329919144,99.98396665063332,12.496993987975952,55,998,2.7676145390749745,2.0687573359128884,3,1,0,5
4.990399999999999,100,58,499,215.10344827586206,3.205843029051156,99.9519076627124,6.8591859185918596,10,1818,1.156729277425608,0.22450647542454785,3,2,0,5
1.7336,100,20,499,216.7,1.9730014063936128,99.95385325334564,4.349397590361446,5,996,0.812738170939091,NA,3,j,0,5
9.98,99.99198396793587,390,499,63.96923076923077,4.250923304684993,99.99198396793587,20.200809716599192,67,1235,3.415300012487618,3.378217416175097,4,1,0,10
9.980799999999999,100,104,499,239.92307692307693,3.887862240389036,99.97595383135621,13.579749591725639,20,1837,1.11559073886626,0.43787044528369373,4,2,0,10
3.4608,100,26,499,332.7692307692308,2.564949357461537,99.97688395746648,8.684738955823294,9,996,0.5134396762673514,NA,4,j,0,10
0.9984,100,48,387,52,3.1202915653012835,93.18910256410257,3.1263440860215055,16,744,1.1606389138024398,0.4497713451548434,5,1,0.05,1
0.9984,100,12,499,208,1.791759469228055,58.493589743589745,2.0534458509142053,3,711,0.20853898265766502,0.05041800705319905,5,2,0.05,1
0.3656,100,4,387,228.5,0.6931471805599453,0,0,0,0,0,NA,5,j,0.05,1
1.9959999999999998,99.91983967935872,78,499,63.92307692307692,3.507960990020823,98.1563126252505,5.406181015452539,28,906,1.9109733774123407,0.8479881373957696,6,1,0.05,2
1.9935999999999998,100,30,499,166.13333333333333,2.70805020110221,96.22792937399679,2.9513846153846153,5,1625,0.8667312090897501,0.09134618903382505,6,2,0.05,2
0.7024,100,10,499,175.6,1.6094379124341005,86.33257403189066,2,2,758,-0,NA,6,j,0.05,2
4.9896,99.96793330126663,164,499,76.03658536585365,4.1001735329919144,99.98396665063332,12.496993987975952,55,998,2.7676145390749745,2.0687573359128884,7,1,0.05,5
4.9912,100,58,499,215.13793103448276,3.367295829986474,99.95191537105306,6.8565145684442,11,1819,1.2391907776513156,0.2243385532765239,7,2,0.05,5
1.7351999999999999,100,16,499,271.125,2.0794415416798357,99.95389580451821,4.353413654618474,5,996,0.8142969502265571,NA,7,j,0.05,5
9.98,99.99198396793587,390,499,63.96923076923077,4.250923304684993,99.99198396793587,20.200809716599192,67,1235,3.415300012487618,3.378163954919212,8,1,0.05,10
9.9792,100,106,499,235.35849056603774,3.944135416172501,99.97594997594997,13.57018498367791,20,1838,1.2431910521867933,0.44058074540988107,8,2,0.05,10
3.4743999999999997,100,30,499,289.53333333333336,2.70805020110221,99.9769744416302,8.718875502008032,10,996,0.6580524839074183,NA,8,j,0.05,10
0.9984,100,48,387,52,3.1202915653012835,93.18910256410257,3.1263440860215055,16,744,1.1606389138024398,0.4497713451548434,9,1,0.1,1
0.9984,99.9198717948718,20,499,124.7,2.3025850929940455,55.12820512820513,2.4571428571428573,3,560,0.6894691997751603,0.06527669260133048,9,2,0.1,1
0.3656,100,4,387,228.5,0.6931471805599453,0,0,0,0,0,NA,9,j,0.1,1
1.9959999999999998,99.91983967935872,78,499,63.92307692307692,3.507960990020823,98.1563126252505,5.406181015452539,28,906,1.9109733774123407,0.8479881373957696,10,1,0.1,2
1.9952,100,30,499,166.26666666666668,2.488327743368588,99.39855653568564,2.8792102206736354,5,1722,1.0817665085137504,0.09886431631491126,10,2,0.1,2
0.7616,100,6,499,317.3333333333333,1.0986122886681096,95.16806722689076,2,2,906,-0,NA,10,j,0.1,2
4.9896,99.96793330126663,164,499,76.03658536585365,4.1001735329919144,99.98396665063332,12.496993987975952,55,998,2.7676145390749745,2.068818666415311,11,1,0.1,5
4.9848,100,64,499,194.71875,3.335770806444737,99.95185363505055,6.847718526663002,11,1819,1.4830720722310091,0.22766055829895618,11,2,0.1,5
1.7832000000000001,100,16,499,278.625,2.0794415416798357,99.95513683266039,4.473895582329317,5,996,0.8294566606384102,NA,11,j,0.1,5
9.98,99.99198396793587,390,499,63.96923076923077,4.250923304684993,99.99198396793587,20.200809716599192,67,1235,3.415300012487618,3.3781758201199668,12,1,0.1,10
9.980799999999999,99.99198461045206,108,499,231.0185185185185,3.9119676931687244,99.97595383135621,13.564980967917347,21,1839,1.5753654934393952,0.4400472281698046,12,2,0.1,10
3.5639999999999996,99.97755331088665,30,499,296.93333333333334,2.70805020110221,99.97755331088665,8.943775100401606,10,996,1.048652518261016,NA,12,j,0.1,10
0.9984,100,48,387,52,3.1202915653012835,93.18910256410257,3.1263440860215055,16,744,1.1606389138024398,0.4497713451548434,13,1,0.15000000000000002,1
0.996,100,28,499,88.92857142857143,2.6390573296152584,55.3012048192771,2.917372881355932,4,472,1.0886502065874795,0.08204100655204243,13,2,0.15000000000000002,1
0.3656,100,4,387,228.5,0.6931471805599453,0,0,0,0,0,NA,13,j,0.15000000000000002,1
1.9959999999999998,99.91983967935872,78,499,63.92307692307692,3.507960990020823,98.1563126252505,5.406181015452539,28,906,1.9109733774123407,0.8479881373957696,14,1,0.15000000000000002,2
1.9959999999999998,100,30,499,166.33333333333334,2.70805020110221,99.81963927855712,2.9369103773584904,5,1696,1.0503744002417998,0.11375552054468374,14,2,0.15000000000000002,2
0.7616,100,6,499,317.3333333333333,1.0986122886681096,95.16806722689076,2,2,906,-0,NA,14,j,0.15000000000000002,2
4.9896,99.96793330126663,164,499,76.03658536585365,4.1001735329919144,99.98396665063332,12.496993987975952,55,998,2.7676145390749745,2.068818666415311,15,1,0.15000000000000002,5
4.9888,99.98396407953817,64,499,194.84375,3.42241420401473,99.95189223861449,6.849450549450549,11,1820,1.4704023325158184,0.22973400833319818,15,2,0.15000000000000002,5
