RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,system,coupling,RR_target
0.2,100,10,65,50,1.6094379124341005,72.39999999999999,3.480769230769231,4,104,0.8849687141775535,0.11039178370712831,1,1,0,0.2
0.2144,100,8,89,67,1.0397207708399179,0,0,0,0,0,0.014018713062870438,1,2,0,0.2
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,j,0,0.2
0.29919999999999997,100,16,76,46.75,2.0794415416798357,80.4812834224599,4.0675675675675675,6,148,1.4447320820177867,0.15226558481734198,2,1,0,0.3
0.30560000000000004,100,4,301,191,0.6931471805599453,0,0,0,0,0,0.017423746752332128,2,2,0,0.3
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,j,0,0.3
0.5983999999999999,100,28,120,53.42857142857143,2.6390573296152584,67.7807486631016,4.296610169491525,9,236,1.5326943259845338,0.21557537385991354,3,1,0,0.6
0.5864,100,12,301,122.16666666666667,1.5607104090414063,89.7680763983629,2,2,658,-0,0.03139607984468898,3,2,0,0.6
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,j,0,0.6
1.2472,100,50,390,62.36,3.0525205015338135,87.74855676715843,4.606060606060606,17,594,1.7017415715870723,0.40719459646011824,4,1,0,1.25
1.2408000000000001,100,16,499,193.875,1.9061547465398494,67.69825918762089,2.6054590570719602,3,806,0.6707360281388466,0.05943685135396226,4,2,0,1.25
0.39039999999999997,100,4,390,244,0.6931471805599453,0,0,0,0,0,NA,4,j,0,1.25
2.4951999999999996,100,92,499,67.80434782608695,3.708094060739539,99.5511381853158,6.402061855670103,33,970,2.168900714834317,0.7852345029388622,5,1,0,2.5
2.4936,100,26,499,239.76923076923077,2.564949357461537,99.90375360923966,3.4446902654867255,6,1808,0.9642094500724807,0.11993371185113424,5,2,0,2.5
0.7872,100,6,499,328,1.0986122886681096,98.57723577235772,2,2,970,-0,NA,5,j,0,2.5
4.9896,100,180,499,69.3,4.262946741879566,99.98396665063332,12.522088353413654,62,996,2.8892593574416208,1.6324735703047888,6,1,0,5
4.9896,100,58,499,215.06896551724137,3.205843029051156,99.95189995189995,6.858085808580858,10,1818,1.1563696731433961,0.2244104599286034,6,2,0,5
1.7488,100,20,499,218.6,1.8343719702816237,99.95425434583714,4.387550200803213,5,996,0.7925873468853266,NA,6,j,0,5
9.98,99.97595190380761,342,499,72.93567251461988,4.412666488617974,99.98396793587175,24.337560975609755,82,1025,3.6008498016800314,3.365393656470879,7,1,0,10
9.98,100,104,499,239.90384615384616,3.887862240389036,99.97595190380761,13.578660860097985,20,1837,1.1122451634114034,0.4386827181305191,7,2,0,10
3.5488,100,22,499,403.27272727272725,2.3978952727983707,99.97745716862038,8.905622489959839,9,996,0.22800804186854484,NA,7,j,0,10
19.9608,99.97595286762053,1014,499,49.201183431952664,4.34999440427091,99.98797643381026,32.19096774193548,96,1550,4.0958133167580755,4.364326403280273,8,1,0,20
19.96,100,200,499,249.5,4.605170185988091,99.9879759519038,26.624332977588047,40,1874,1.5547768746383805,0.8618845117650897,8,2,0,20
9.0304,99.99114103472715,194,499,116.36082474226804,4.0618218135868975,99.93798724309,18.093023255813954,39,1247,1.6300689224513507,NA,8,j,0,20
39.9184,99.97795502825765,2176,499,45.85202205882353,4.486201635178058,99.98897751412882,45.37744429286039,134,2199,4.545193805227579,5.164750572529142,9,1,0,40
39.9192,100,410,499,243.40975609756097,5.249943338320018,99.99398785546805,51.096774193548384,79,1953,2.345917245164972,1.644047620113985,9,2,0,40
23.359199999999998,99.99315045035789,790,499,73.91645569620253,4.646770275245159,99.98116373848418,34.08464681844717,79,1713,3.498168274910204,NA,9,j,0,40
79.84,99.99599198396794,2134,499,93.52952202436738,5.122326946854688,99.99799599198397,108.24078091106291,359,1844,5.392358520616245,6.654935839419931,10,1,0,80
79.8416,100,900,499,221.78222222222223,5.927121110962334,99.99699404821547,94.15,161,2120,3.92004876211321,2.69962601394806,10,2,0,80
65.336,99.99632668054366,1730,499,94.41271676300578,5.064094317111951,99.98775560181217,66.49837133550488,161,2456,4.5677678991339485,NA,10,j,0,80
0.2,100,10,65,50,1.6094379124341005,72.39999999999999,3.480769230769231,4,104,0.8849687141775535,0.11039178370712831,11,1,0.1,0.2
0.2,100,12,75,41.666666666666664,1.791759469228055,72.6,2.005524861878453,3,181,0.03423054971755022,0.042558140092434506,11,2,0.1,0.2
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,11,j,0.1,0.2
0.29919999999999997,100,16,76,46.75,2.0794415416798357,80.4812834224599,4.0675675675675675,6,148,1.4447320820177867,0.15226558481734198,12,1,0.1,0.3
0.30079999999999996,100,18,110,41.77777777777778,2.1972245773362196,49.33510638297872,2.0054054054054054,3,185,0.03360890940236069,0.04493177807606386,12,2,0.1,0.3
0.0072,100,2,9,9,-0,0,0,0,0,0,NA,12,j,0.1,0.3
0.5983999999999999,100,28,120,53.42857142857143,2.6390573296152584,67.7807486631016,4.296610169491525,9,236,1.5326943259845338,0.21557537385991354,13,1,0.1,0.6
0.5992,100,14,499,107,1.9459101490553132,28.037383177570092,2.0388349514563107,3,206,0.16422372019270404,0.05174804261320582,13,2,0.1,0.6
0.2872,100,10,120,71.8,1.6094379124341005,0,0,0,0,0,NA,13,j,0.1,0.6
1.2472,100,50,390,62.36,3.0525205015338135,87.74855676715843,4.606060606060606,17,594,1.7017415715870723,0.40719459646011824,14,1,0.1,1.25
1.2448000000000001,100,42,499,74.0952380952381,2.9124944033310527,83.96529562982005,2.6447368421052633,5,988,0.9450693708680001,0.09092145633222684,14,2,0.1,1.25
0.5015999999999999,100,16,390,78.375,2.0794415416798357,44.33811802232855,2,2,278,-0,NA,14,j,0.1,1.25
2.4951999999999996,100,92,499,67.80434782608695,3.708094060739539,99.5511381853158,6.402061855670103,33,970,2.168900714834317,0.7852345029388622,15,1,0.1,2.5
2.4951999999999996,100,58,499,107.55172413793103,3.223886068491313,99.7755690926579,3.585253456221198,7,1736,1.5074813125642266,0.1364861227601266,15,2,0.1,2.5
0.9736,100,18,499,135.22222222222223,2.0431918705451206,98.84963023829087,2.4804123711340207,3,970,0.6923796337546235,NA,15,j,0.1,2.5
4.9896,100,180,499,69.3,4.262946741879566,99.98396665063332,12.522088353413654,62,996,2.8892593574416208,1.6324735703047888,16,1,0.1,5
4.9888,100,76,499,164.10526315789474,3.5281418680590257,99.95189223861449,6.872105843439912,12,1814,1.4960894402889329,0.2303356047619511,16,2,0.1,5
1.9008,100,18,499,264,2.1972245773362196,99.95791245791246,4.769076305220883,5,996,0.5892201113532618,NA,16,j,0.1,5
9.98,99.97595190380761,342,499,72.93567251461988,4.412666488617974,99.98396793587175,24.337560975609755,82,1025,3.6008498016800314,3.365393656470879,17,1,0.1,10
9.98,99.99198396793587,122,499,204.49180327868854,4.065421590038233,99.97595190380761,13.593460490463215,22,1835,1.666499369596403,0.4431778163931729,17,2,0.1,10
3.6376,100,26,499,349.7692307692308,2.564949357461537,99.97800747745767,9.1285140562249,10,996,0.7481853100396685,NA,17,j,0.1,10
