RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,method,system,coupling,RR_target
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,1,MvJRQA,1,0,0.5
0.5,100,12,301,104.16666666666667,1.5607104090414063,70.72,2,2,442,-0,0.031067929704828114,1,MvJRQA,2,0,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,MvJRQA,j,0,0.5
0.048799999999999996,100,4,51,30.5,0.6931471805599453,0,0,0,0,0,0.09,1,MdRQA,f,0,NA
0.048799999999999996,100,4,51,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,1,MdRQA_crqa,f,0,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,2,MvJRQA,1,0.02,0.5
0.49760000000000004,100,10,301,124.4,1.6094379124341005,70.09646302250803,2,2,436,-0,0.038077597911670626,2,MvJRQA,2,0.02,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,MvJRQA,j,0.02,0.5
0.048799999999999996,100,4,51,30.5,0.6931471805599453,0,0,0,0,0,0.09,2,MdRQA,f,0.02,NA
0.048799999999999996,100,4,51,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,2,MdRQA_crqa,f,0.02,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,3,MvJRQA,1,0.04,0.5
0.5112,100,16,236,79.875,1.9061547465398494,82.31611893583725,2,2,526,-0,0.04434228227282816,3,MvJRQA,2,0.04,0.5
0.0704,100,6,76,29.333333333333332,0.6365141682948128,0,0,0,0,0,NA,3,MvJRQA,j,0.04,0.5
0.048799999999999996,100,4,51,30.5,0.6931471805599453,0,0,0,0,0,0.09,3,MdRQA,f,0.04,NA
0.048799999999999996,100,4,51,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,3,MdRQA_crqa,f,0.04,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,4,MvJRQA,1,0.06,0.5
0.4968,100,22,158,56.45454545454545,2.3978952727983707,76.08695652173914,2.0021186440677967,3,472,0.015160845158155458,0.04421744129843562,4,MvJRQA,2,0.06,0.5
0.0872,100,6,88,36.333333333333336,1.0986122886681096,0,0,0,0,0,NA,4,MvJRQA,j,0.06,0.5
0.049600000000000005,100,4,51,31,0.6931471805599453,0,0,0,0,0,0.09,4,MdRQA,f,0.06,NA
0.049600000000000005,100,4,51,31,0.6931471805599453,0,NA,NA,NA,NA,0.09,4,MdRQA_crqa,f,0.06,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,5,MvJRQA,1,0.08,0.5
0.4992,100,24,116,52,2.4849066497880004,67.70833333333334,2.0023696682464456,3,422,0.016691515504536476,0.04422349511243724,5,MvJRQA,2,0.08,0.5
0.1288,100,6,98,53.666666666666664,1.0986122886681096,0,0,0,0,0,NA,5,MvJRQA,j,0.08,0.5
0.049600000000000005,100,4,51,31,0.6931471805599453,0,0,0,0,0,0.09,5,MdRQA,f,0.08,NA
0.049600000000000005,100,4,51,31,0.6931471805599453,0,NA,NA,NA,NA,0.09,5,MdRQA_crqa,f,0.08,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,6,MvJRQA,1,0.1,0.5
0.4968,100,24,151,51.75,2.3693821196946763,59.42028985507246,2.005434782608696,3,368,0.03376202951126808,0.04427659272250104,6,MvJRQA,2,0.1,0.5
0.1552,100,4,150,97,0.6931471805599453,0,0,0,0,0,NA,6,MvJRQA,j,0.1,0.5
0.049600000000000005,100,4,51,31,0.6931471805599453,0,0,0,0,0,0.09,6,MdRQA,f,0.1,NA
0.049600000000000005,100,4,51,31,0.6931471805599453,0,NA,NA,NA,NA,0.09,6,MdRQA_crqa,f,0.1,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,7,MvJRQA,1,0.12,0.5
0.5,100,26,154,48.07692307692308,2.564949357461537,53.76,2.0119760479041915,3,334,0.06489622226875695,0.044274038296201114,7,MvJRQA,2,0.12,0.5
0.1744,100,4,152,109,0.6931471805599453,0,0,0,0,0,NA,7,MvJRQA,j,0.12,0.5
0.049600000000000005,100,4,51,31,0.6931471805599453,0,0,0,0,0,0.09,7,MdRQA,f,0.12,NA
0.049600000000000005,100,4,51,31,0.6931471805599453,0,NA,NA,NA,NA,0.09,7,MdRQA_crqa,f,0.12,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,8,MvJRQA,1,0.14,0.5
0.5,100,36,247,34.72222222222222,2.3701349548823627,45.76,2.0428571428571427,3,280,0.17692035111794388,0.044511673494209286,8,MvJRQA,2,0.14,0.5
0.1864,99.57081545064378,6,153,77.33333333333333,1.0986122886681096,0,0,0,0,0,NA,8,MvJRQA,j,0.14,0.5
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,0,0,0,0,0.09,8,MdRQA,f,0.14,NA
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,8,MdRQA_crqa,f,0.14,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,9,MvJRQA,1,0.16,0.5
0.5,100,36,249,34.72222222222222,2.5052899909184174,46.32,2.0174216027874565,3,287,0.08782722075363315,0.04459392692030422,9,MvJRQA,2,0.16,0.5
0.1944,100,8,153,60.75,1.3862943611198906,0,0,0,0,0,NA,9,MvJRQA,j,0.16,0.5
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,0,0,0,0,0.09,9,MdRQA,f,0.16,NA
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,9,MdRQA_crqa,f,0.16,NA
0.4992,100,24,153,52,2.4849066497880004,45.032051282051285,5.73469387755102,9,98,2.0308799143168104,0.14523211737320912,10,MvJRQA,1,0.18,0.5
0.5008,100,36,282,34.77777777777778,2.6593226977095163,39.6964856230032,2.0203252032520327,3,246,0.09930206221928012,0.04490044496572481,10,MvJRQA,2,0.18,0.5
0.212,100,6,153,88.33333333333333,1.0986122886681096,0,0,0,0,0,NA,10,MvJRQA,j,0.18,0.5
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,0,0,0,0,0.09,10,MdRQA,f,0.18,NA
0.048799999999999996,100,4,50,30.5,0.6931471805599453,0,NA,NA,NA,NA,0.09,10,MdRQA_crqa,f,0.18,NA
