RR,DET,DNRLINES,MDL,ADL,DENTR,LAM,AVL,MVL,VNRLINES,VENTR,radius,sample_id,method,system,coupling,RR_target
0.49760000000000004,100,34,178,36.588235294117645,2.557793860107733,34.163987138263664,2.1907216494845363,3,194,0.48726767345755145,0.06429346269392959,1,MvJRQA,1,0,0.5
0.5024,100,12,301,104.66666666666667,1.5607104090414063,71.3375796178344,2,2,448,-0,0.031088610157283782,1,MvJRQA,2,0,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,MvJRQA,j,0,0.5
0.28800000000000003,100,12,212,60,1.791759469228055,0,0,0,0,0,0.09,1,MdRQA,f,0,NA
0.28800000000000003,100,12,212,60,1.791759469228055,0,NA,NA,NA,NA,0.09,1,MdRQA_crqa,f,0,NA
0.49760000000000004,100,34,178,36.588235294117645,2.557793860107733,34.163987138263664,2.1907216494845363,3,194,0.48726767345755145,0.06429346269392959,2,MvJRQA,1,0.02,0.5
0.4992,100,14,299,89.14285714285714,1.9459101490553132,70.67307692307693,2,2,441,-0,0.03457240801382887,2,MvJRQA,2,0.02,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,MvJRQA,j,0.02,0.5
0.28800000000000003,100,12,212,60,1.791759469228055,0,0,0,0,0,0.09,2,MdRQA,f,0.02,NA
0.28800000000000003,100,12,212,60,1.791759469228055,0,NA,NA,NA,NA,0.09,2,MdRQA_crqa,f,0.02,NA
0.49760000000000004,100,34,178,36.588235294117645,2.557793860107733,34.163987138263664,2.1907216494845363,3,194,0.48726767345755145,0.06429346269392959,3,MvJRQA,1,0.04,0.5
0.49839999999999995,100,26,208,47.92307692307692,2.4583113296830836,85.07223113964687,2,2,530,-0,0.038160973900090066,3,MvJRQA,2,0.04,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,MvJRQA,j,0.04,0.5
0.28800000000000003,100,12,212,60,1.791759469228055,0,0,0,0,0,0.09,3,MdRQA,f,0.04,NA
0.28800000000000003,100,12,212,60,1.791759469228055,0,NA,NA,NA,NA,0.09,3,MdRQA_crqa,f,0.04,NA
0.49760000000000004,100,34,178,36.588235294117645,2.557793860107733,34.163987138263664,2.1907216494845363,3,194,0.48726767345755145,0.06429346269392959,4,MvJRQA,1,0.06,0.5
0.4968,100,30,202,41.4,2.5232109529528914,86.63446054750402,2,2,538,-0,0.04353084962468564,4,MvJRQA,2,0.06,0.5
0,NA,0,0,0,NA,NA,0,0,0,NA,NA,4,MvJRQA,j,0.06,0.5
0.2888,100,12,212,60.166666666666664,1.791759469228055,0,0,0,0,0,0.09,4,MdRQA,f,0.06,NA
0.2888,100,12,212,60.166666666666664,1.791759469228055,0,NA,NA,NA,NA,0.09,4,MdRQA_crqa,f,0.06,NA
0.49760000000000004,100,34,178,36.588235294117645,2.557793860107733,34.163987138263664,2.1907216494845363,3,194,0.48726767345755145,0.06429346269392959,5,MvJRQA,1,0.08,0.5
0.496,100,46,102,26.956521739130434,2.81137595726115,57.41935483870968,2,2,356,-0,0.04360483681291731,5,MvJRQA,2,0.08,0.5
0.04,100,6,19,16.666666666666668,1.0986122886681096,0,0,0,0,0,NA,5,MvJRQA,j,0.08,0.5
0.2896,100,12,212,60.333333333333336,1.791759469228055,0,0,0,0,0,0.09,5,MdRQA,f,0.08,NA
0.2896,100,12,212,60.333333333333336,1.791759469228055,0,NA,NA,NA,NA,0.09,5,MdRQA_crqa,f,0.08,NA
0.49760000000000004,100,34,178,36.588235294117645,2.557793860107733,34.163987138263664,2.1907216494845363,3,194,0.48726767345755145,0.06429346269392959,6,MvJRQA,1,0.1,0.5
0.496,100,50,87,24.8,2.865235252448845,48.54838709677419,2,2,301,-0,0.043476919419556184,6,MvJRQA,2,0.1,0.5
0.0728,100,8,38,22.75,1.3862943611198906,0,0,0,0,0,NA,6,MvJRQA,j,0.1,0.5
0.2896,100,12,212,60.333333333333336,1.791759469228055,0,0,0,0,0,0.09,6,MdRQA,f,0.1,NA
0.2896,100,12,212,60.333333333333336,1.791759469228055,0,NA,NA,NA,NA,0.09,6,MdRQA_crqa,f,0.1,NA
0.49760000000000004,100,34,178,36.588235294117645,2.557793860107733,34.163987138263664,2.1907216494845363,3,194,0.48726767345755145,0.06429346269392959,7,MvJRQA,1,0.12,0.5
0.4992,100,54,84,23.11111111111111,3.090459923616197,43.18910256410257,2.003717472118959,3,269,0.024508737308494916,0.043426066232876426,7,MvJRQA,2,0.12,0.5
